Categoria,Descrição dos alimentos,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g)
Frutas e derivados,"Kiwi, cru","85,9",51,"1,3","0,6","11,5"
Nozes e sementes,"Amêndoa, torrada, salgada","3,1",581,"18,6","47,3","29,5"
Leguminosas e derivados,"Feijão, rajado, cru","15,0",326,"17,3","1,2","62,9"
Frutas e derivados,"Mexerica, Rio, crua","89,6",37,"0,7","0,1","9,3"
Nozes e sementes,"Castanha-de-caju, torrada, salgada","3,5",570,"18,5","46,3","29,1"
Cereais e derivados,"Bolo, pronto, aipim","34,1",324,"4,4","12,7","47,9"
Cereais e derivados,"Polenta, pré-cozida","72,7",103,"2,3","0,3","23,3"
Cereais e derivados,"Pastel, massa, frita","1,0",570,"6,0","40,9","49,3"
Leguminosas e derivados,"Feijão, preto, cru","14,9",324,"21,3","1,2","58,8"
Frutas e derivados,"Banana, figo, crua","70,1",105,"1,1","0,1","27,8"
Produtos açucarados,"Chocolate, ao leite, com castanha do Pará","1,2",559,"7,4","34,2","55,4"
Leite e derivados,"Queijo, minas, meia cura","47,1",321,"21,2","24,6","3,6"
"Verduras, hortaliças e derivados","Batata, baroa, crua","73,7",101,"1,0","0,2","24,0"
Produtos açucarados,"Chocolate, ao leite, dietético","1,7",557,"6,9","33,8","56,3"
Outros alimentos industrializados,"Chantilly, spray, com gordura vegetal","55,1",315,"0,5","27,3","16,9"
Alimentos preparados,Camarão à baiana,"82,0",101,"7,9","6,0","3,2"
Leguminosas e derivados,"Amendoim, grão, cru","6,4",544,"27,2","43,9","20,3"
Carnes e derivados,"Carne, bovina, língua, cozida","53,4",315,"21,4","24,8","0,0"
"Verduras, hortaliças e derivados","Tomate, extrato","79,7",61,"2,4","0,2","15,0"
"Verduras, hortaliças e derivados","Batata, frita, tipo chips, industrializada","2,7",543,"5,6","36,6","51,2"
Carnes e derivados,"Carne, bovina, seca, cozida","47,2",313,"26,9","21,9","0,0"
Frutas e derivados,"Banana, prata, crua","71,9",98,"1,3","0,1","26,0"
Produtos açucarados,"Chocolate, ao leite","1,3",540,"7,2","30,3","59,6"
Carnes e derivados,"Carne, bovina, seca, crua","39,2",313,"19,7","25,4","0,0"
"Verduras, hortaliças e derivados","Berinjela, crua","93,8",20,"1,2","0,1","4,4"
Cereais e derivados,"Biscoito, doce, wafer, recheado de morango","1,2",513,"4,5","26,4","67,4"
Leite e derivados,"Leite, condensado","27,0",313,"7,7","6,7","57,0"
Frutas e derivados,"Atemóia, crua","72,7",97,"1,0","0,3","25,3"
Leguminosas e derivados,"Pé-de-moleque, amendoim","2,9",503,"13,2","28,0","54,7"
Carnes e derivados,"Carne, bovina, capa de contra-filé, com gordura, grelhada","47,9",312,"30,7","20,0","0,0"
"Verduras, hortaliças e derivados","Inhame, cru","73,3",97,"2,1","0,2","23,2"
Cereais e derivados,"Biscoito, doce, wafer, recheado de chocolate","1,2",502,"5,6","24,7","67,5"
